Комментарий,Время,Лайки
.,2023-12-20T11:27:11Z,0
"круто что в рекламе что-то нормальное ,смотришь историю и тебе рекомендуют курсы,с удовольствием бы взяла ,но нет времени",2023-12-20T11:10:53Z,0
о ФИШЕРе хочется послушать,2023-12-20T11:10:47Z,0
"Спасибо, что радуете интересными и атмосферными видео!!❤
Было бы безумно интересно послушать о Джеффри Дамере от вас!😊",2023-12-20T08:55:29Z,0
"Впервые слышу эту историю, было очень интересно, спасибо❤",2023-12-20T06:41:55Z,0
"Чёрная рука, отсылка к собирателем хлопка и табака?",2023-12-20T06:19:34Z,0
Интересно про Эндрю Кьюненен💥,2023-12-19T22:20:08Z,0
"это потрясающий выпуск! спасибо, Саша!",2023-12-19T20:37:03Z,0
"Вспомнилось ""Убийство в Восточном Экспрессе"" Агаты Кристи.",2023-12-19T19:52:43Z,0
"На следующий выпуск хотелось бы: 1) Михаил Попков - Ангарский маньяк 
2) Александр Спесивцев - Новокузнецкий монстр 
3) Олег Рыльков - Тольяттинский потрошитель
4) Евгений Чуплинский",2023-12-19T17:15:45Z,0
в восторге от формата и жду новых видео,2023-12-19T16:58:00Z,0
"Правительство Российской Федерации – как шайки убийц, вымогателей и шантажистов стали мафией, а так же фашистами, оккупантами и военными преступниками.",2023-12-19T14:42:16Z,3
А давайте про витебского маньяка,2023-12-19T13:38:06Z,0
Про Сливко расскажите пожалуйста,2023-12-19T10:49:14Z,0
Как всегда на высоте!🎉❤,2023-12-19T08:27:37Z,0
Один из самых интересных выпусков. Спасибо!,2023-12-19T07:42:34Z,1
Спасибо Саша ну и конечно Алексею Валерьевичу👌Живой Гвоздь рулит😁,2023-12-19T07:28:52Z,0
"Снимите про Лебедя, абаканского маньяка таксиста",2023-12-19T06:23:15Z,0
"В 1950 году Голливуд, кстати, выпускал ленту с названием ""Чёрная рука"". Правда, это был не биографический фильм, а криминальный триллер о том, как итальянский иммигрант (в этой роли Джин Келли, известный больше по мюзиклам вроде ""Поющие под дождём"") в паре с детективом (кто его играет не помню, но именно этот персонаж списан с Петрозино - по сюжету у него, конечно, другое имя) начинают борьбу с этой самой бандой.",2023-12-19T05:06:24Z,0
"Мне тоже кажется, что он не просто так поехал в Италию без охраны и об этом так легко разболтали",2023-12-19T04:46:32Z,0
Саша сделайте репортаж про Камчатского чикатило по фамилии -Тушинский,2023-12-19T02:30:15Z,0
Саша сделай пожалуйста выпуск о Геннадий Михасевич— советский серийный убийца.,2023-12-19T01:19:05Z,0
"Нудный выпуск , то одни  маньяки то нафталиновая душнина , этот сюжет в подборке за 3-4 минуты можно разложить , а тут размазано на час .",2023-12-19T00:11:38Z,0
"Всё прекрасно, всё супер! Но, Саша, не брелки, а брелоки)",2023-12-18T21:23:07Z,0
"Саша, у меня, возможно, слишком нестандартное предложение: есть некий Игорь Титов, лыжник, турист, предложивший на сегодняшний день единственное логичное описание трагедии дятловцев, когда все детали перестают противоречить друг другу и складываются в общий пазл. Есть канал старая школа, где криминалист предлагает версию Игоря, но в причесанном виде. Сразу подчеркну: никаких консперологий, светящихся шаров и прочей мистики. С большим уважением и бережностью к именам погибших. Если бы вас всех собрать за одним столом, это было бы огонь!",2023-12-18T21:12:05Z,0
Удивляюсь как с этого ужасного сериала можно вынести что-то хорошее стыдно что такое опять показывают 😱,2023-12-18T20:33:43Z,0
