Комментарий,Время,Лайки
Отличный выпуск! Спасибо за настроение и рассказ ❤,2023-12-13T20:58:25Z,2
"Классное расширение формата. Смещение оптики на на героев вместо злодеев  мне понравилось. Спасибо, Александра.",2023-12-13T20:55:10Z,12
"впервые увидел мотоцикл, у которого вместо коляски клетка для преступника (где-то на 27 минуте)",2023-12-13T20:52:26Z,0
"Вообще, по документам она Суша Салим, а не Саша Сулим",2023-12-13T20:51:02Z,0
Непривычно видеть Кузнецова не по мыльной видеосвязи во время эфиров)),2023-12-13T20:46:19Z,0
"Что нужно сделать, чтобы выпуски были чаще? Мы готовы 😏",2023-12-13T20:43:00Z,0
"Огромный респект, что позвали Алексея Кузнецова! Спасибо за выпуск",2023-12-13T20:41:27Z,0
Ну кайф !!! Спасибо !!!,2023-12-13T20:34:08Z,1
Лайк не глядя,2023-12-13T20:32:24Z,0
"Спасибо за этот выпуск! Уже находила видео про черную руку, но что происходило после смерти Петрозино никто не говорил. Очень интересное повествование и монтаж на высоте🤌🏻",2023-12-13T20:25:15Z,0
"Саша, великолепная подача. Замечательно и профессионально. Спасибо за ваш труд!",2023-12-13T20:22:43Z,0
"О, невероятная Donna Александра! ❤ это было Delizioso!",2023-12-13T20:21:21Z,1
Алексей Валерич ради Саши даже приоделся. Шикарный тандем ❤,2023-12-13T20:20:36Z,1
"Как эта рука похожа на нашу всемирно известную ОПГ. И как один человек, имя которого нельзя называть сейчас у нас, похож на справедливого, и внутренне свободного Петрозино.",2023-12-13T20:16:23Z,0
"Чёрная рука окончательно сформировалась в 20 годы- номинал Дон Бальзамо, но главный мозг Фрэнк Айело(Фрэнки Эйл) , Консигльери- Оги Пизано. Главный киллер был- Вилли Два Ножа, все главные убийства совершал именно Вилли... Любитель проворачивать ножи в теле жертв...",2023-12-13T20:15:54Z,1
Какая же ты умница!❤️ Спасибо!!,2023-12-13T20:15:08Z,0
Кишинев +++,2023-12-13T20:14:56Z,0
Молодец Саша👍,2023-12-13T20:11:30Z,0
"Интересно смотреть и слушать. Крутой уровень подготовки. Эксперты, очевидцы, кадры... все это позволяет погрузиться и не оторваться от даже уже знакомых историй. Незаметно как пролетает время за выпуском.
Было бы интересно посмотреть выпуск про Эрика Фишера. Парня обвинили  и осудили за убийство собственной матери. До сих пор неизвестно, виновен он или нет.",2023-12-13T20:08:02Z,0
Это самый лучший выпуск на канале! Спасибо большое за ваш труд. Никогда не слышала о Петрозино. Была тронута до слез его биографией,2023-12-13T20:07:12Z,7
"Какой крутой выпуск! Грамотная подача, интересная история, о которой я раньше и не слышала. 👍",2023-12-13T20:06:50Z,3
"Сердечное спасибо из Италии! Было очень, очень интересно!!❤",2023-12-13T20:04:00Z,0
"Даже выпуск Ералаша был, как парня ,,похитили'' черная рука, а сестра, похищенного парня, их назвала, черной ногой, а потом она попросила их, брата не выпускать подольше, пока она не съест торт)))",2023-12-13T20:03:21Z,2
"О, у меня была игра Банды Нью Йорка на диске )",2023-12-13T20:00:28Z,0
"Саша, сделай про Москвина, пожалуйста",2023-12-13T19:59:42Z,0
Кузнецова можно слушать часами.,2023-12-13T19:58:27Z,1
Как жили там всем плевать,2023-12-13T19:58:16Z,0
"Саша извини, но слишком часто про иностранный криминал, а интересно про российский. Дизлайк. Первый. Надеюсь единственный.",2023-12-13T19:57:16Z,0
Он прям сказочник🤦‍♂️ Итальянская мафия до 90-х годов себя отлично участвовала!!!,2023-12-13T19:56:17Z,0
"Все те кто играл в НРИ ""Мир тьмы"" (например в vampire the masquerade bloodlines) и читал книги по этой НРИ или смотрел видосы знают что ""Чёрная рука"" это часть вампирской секты Sabbat, ну или общество магов ""Истинная Черная Рука"" известное так-же как Tal'Mahe'Ra!)))))",2023-12-13T19:54:59Z,1
"вы стали гораздо лучше работать с рекламой и подводками к ним
до этого выпуска реклама курсов психолога сразу после попыток преступника скинуть вину на болезнь выглядела очень смешно, а иногда даже и оскорбительно

в этом выпуске все было к месту",2023-12-13T19:54:24Z,0
Очень интересно. Было бы круто еще послушать про Джованни Фальконе.,2023-12-13T19:53:32Z,0
"Какой уровень культуры повествования. Восторг, спасибо!",2023-12-13T19:51:58Z,2
"Это не историк,а сказочник! Даже если он историк,то только этого полицейского!!! Про мафию он вообще ничего не рассказал!!!",2023-12-13T19:51:01Z,0
"Выпуск шикарен, как и все предыдущие. Но, Саша, Вы шикарная женщина, однако так поставлен свет, что Вы выглядите как персонаж хорор-муви... Как ""Байки из склепа смотрю""... Если так и задуманно, то Ок. 😅",2023-12-13T19:43:45Z,0
В виде подкаста нельзя послушать?,2023-12-13T19:41:35Z,0
Саша прекраснейшая❤❤❤ Спасибо большое за работу. Но этот выпуск не зашел. Скучно 🥱,2023-12-13T19:40:07Z,0
👍,2023-12-13T19:33:44Z,0
"Только закончив работать заходишь в ютуб и видишь выпуск . Этот вечер прекрасен .Саша спасибо за то , что ты делаешь ❤",2023-12-13T19:29:02Z,0
"Всем, кто ложится спать — спокойной ночи",2023-12-13T19:25:18Z,0
Спасибо за ваш труд,2023-12-13T19:24:55Z,0
"Боже, Алексей Кузнецов у Саши Сулим! За что такое счастье? Спасибо, спасибо!!!",2023-12-13T19:20:13Z,1
"Очень интересный выпуск! Не поняла, что за герой такой - Уильям Фарадэй, чернокожий, за которого заступился Петрозино? Расскажите о нем, пожалуйста.",2023-12-13T19:17:46Z,0
"С удивлением обнаружила, что не подписана на Сашу. Исправляюсь.",2023-12-13T19:16:02Z,0
"Это первый выпуск из тех что я видел на канале где героем повествования является не монстр, а в полном смысле этого слово герой. Хотелось бы таких историй немножечко больше, чем рассказов о жутких и вместе с тем жалких душегубах 😅",2023-12-13T19:15:29Z,22
"По этому делу уже есть кино, как называется?",2023-12-13T19:14:30Z,0
Когда уже будет про Дин Корлла ?,2023-12-13T19:12:51Z,0
Саша и ее выпуски ван лав ❤,2023-12-13T19:09:12Z,2
Алексей и Саша - сердце не выдержит❤😊,2023-12-13T19:02:21Z,5
Я Тебя Люблю.но...делай о рашке,2023-12-13T19:00:50Z,0
"Всего лишь 2 рекламы за 20 минут, но до телевизора не дотянули.",2023-12-13T19:00:41Z,0
"Саша и команда, огромное спасибо! Очередной крутой документальный фильм 💙",2023-12-13T18:55:00Z,1
Об убийце В. Путин,2023-12-13T18:53:41Z,3
"Если продолжать тему банд, то очень интересна была бы история Черной Кошки",2023-12-13T18:53:39Z,0
Спасибо за выпуск! Уже не знала что смотреть ❤😅,2023-12-13T18:53:01Z,0
Можно видео про Зодиака,2023-12-13T18:52:26Z,2
Канал выпуски которого действительно ждешь,2023-12-13T18:51:01Z,0
"Сначала испытала эмоции, когда увидела новый выпуск, а потом чуть не померла от восторга на второй же минуте, когда увидела в качестве приглашенного историка своего учителя из школы!!! Алексей Валерьевич просто лучший 💙",2023-12-13T18:49:13Z,253
"Странно, что выпуск не называется ""Отважный Петрозино""",2023-12-13T18:46:57Z,1
Алексей Валерьевич - знак качества!,2023-12-13T18:46:37Z,1
"Привет, Саша Сулим! Рад быть на твоём канале!",2023-12-13T18:46:34Z,0
"Но таджики узбеки , кавказцы никогда не станут полноценными членами нашего общества, они сами этого не хотят. Со своим муслюмаством, а вернее муслюмаским экстремизмом",2023-12-13T18:45:31Z,0
"какой-то высер. а с каких пор историк с эхомоскы стал криминалистом?. Саша, этот видос - лажа",2023-12-13T18:39:58Z,1
Огромное спасибо за Кузнецова❤❤❤❤❤,2023-12-13T18:39:51Z,1
"Саша! Классный фильм! Продолжайте, смотрю все Ваши выпуски. Особенно  порадовал Кузнецов! Всегда слушаю его! Супер!",2023-12-13T18:37:35Z,4
"Саша, спасибо за выпуск! Ну, я думаю, не грех будет снять биографию и о нашем самородке сыскной деятельности - Аркадии Францевиче Кошко, отце дактилоскопии!",2023-12-13T18:35:45Z,6
"-медленное банковское обслуживание через чат? 
Выход есть! Просто начни жить в Европе и познай истинно-медленное дурацкое обслуживание 🎉",2023-12-13T18:30:56Z,0
"Включила фоном без ожиданий и в итоге под впечатлением заворожено смотрю и слушаю весь ролик! Замечательная история, потрясающий герой, спасибо, прекрасная команда ❤️",2023-12-13T18:26:00Z,3
Спасибо за выпуск. Посмотрела с огромным удовольствием,2023-12-13T18:25:35Z,0
"Спасибо Вам Александра за Вашу работу!!!! У нас в городе Каменск- Шахтинский м-он заводской был такой товарищ как  роман бурцев, было бы интересно послушать о нём из Ваших уст.",2023-12-13T18:25:30Z,0
Ух ты! Кузнецов и Сулим у одной передаче?! Это слишком круто ❤,2023-12-13T18:24:06Z,25
"Саша и команда, спасибо!! Невероятная история, невероятная подача!",2023-12-13T18:23:23Z,3
Какая классная подача у Алексея Кузнецова! Вот бы такого умного харизматичного учителя истории в школе),2023-12-13T18:22:53Z,5
"Саша Вы как всегда великолепны. Но есть в этом выпуске  один недостаток по моему мнению. Мужчина который комментирует, очень агрессивен и чересчур смакует тему, что иной раз сам на такие не очень корректные формулировки уходит.",2023-12-13T18:20:45Z,1
"Крутое видео, обожаю криминальные истории❤",2023-12-13T18:20:23Z,1
"Не интересно, давайте что-нибудь про снгшных маньяков😊",2023-12-13T18:20:10Z,1
Змея.),2023-12-13T18:18:43Z,0
"Я надеялся увидеть лучшее, но пересказываться то что говорят 4 ютюбера, это позор",2023-12-13T18:13:55Z,1
"Ура, новый выпуск. Ура-ура",2023-12-13T18:12:33Z,0
"Ой!
А разве мафия бывает плохой?
Ах да! Это же не русская мафия, чтобы быть хорошей.
Правла, Саша?",2023-12-13T18:12:04Z,1
Очень интересно.  Спасибо большое ❤,2023-12-13T18:09:03Z,0
"это прекрасная девочка, Сашенька😅",2023-12-13T18:08:32Z,0
"Великолепный выпуск❤! Рекомендую, однозначно❤❤❤❤❤! Саша благодарю за выпуск",2023-12-13T18:05:29Z,0
"В мире Саши Сулим есть две мафии.
Одна это русская.  Белая и пушистая, в белом костюме на боевом коне.
И вторая - любая другая. Жестокая, несправедливая, подлая и ... 

Мерзость!",2023-12-13T18:05:02Z,1
"Очень нравится, что саша не идет по кругу, а ищет свежий материал",2023-12-13T18:02:33Z,7
"Интереснейший выпуск! Потрясающий эксперт, такой харизматичный",2023-12-13T18:01:53Z,5
"Не могу не оставить комментарий. Какой же здоровский получился выпуск, где главный герой не убийца, а наоборот тот, кто с ними боролся 👍",2023-12-13T18:01:02Z,39
Спасибо за выпуск,2023-12-13T17:58:44Z,0
"Саша, Вы очень проффессиональны!",2023-12-13T17:57:33Z,1
"Саша, спасибо за выпуск❤ если есть новое видео - это всегда маленький праздник с чаем на диване😊 отдельное спасибо за гостя - Алексея Валерьевича очень обожаю❤",2023-12-13T17:55:58Z,7
Сразу лайк,2023-12-13T17:54:38Z,0
Про русский убиц лучше расскажи,2023-12-13T17:52:51Z,1
"Саша благодарю за выпуски, сразу настроение поднимается после тяжелого дня ❤",2023-12-13T17:51:55Z,2
"Александра, смотрю Вас давно и с интересом. Можете найти и подготовить материал о Николае Джумагалиеве Есполовиче, советском серийном убийце, каннибале, известным по прозвищу-  Железный Клык.
Заранее благодарен",2023-12-13T17:51:18Z,0
За товарища Кузнецова отдельный респект,2023-12-13T17:50:22Z,2
"Спасибо за историю ""Черной руки""!!! И особая благодарность - за гостя. Передачи и лекции Алексея Кузнецова слушаю на протяжении нескольких лет. А цикл передач - ""Не так!"" просто великолепен! Саше - успехов. Очень рада, что у нее теперь свой канал. Успехов!!!",2023-12-13T17:48:09Z,40
"Александра, приветствую Вас. Очень люблю вас смотреть. Ваш метод представления от и до завораживает. Даже подача рекламы интригует. Но, пожалуйста,  говорите правильно.  Не брелки,  а брелоки.",2023-12-13T17:47:02Z,0
Последние выпуски какая то шляпа (,2023-12-13T17:44:12Z,1
"Первый раз слышала о данном человеке и всей истории. Спасибо большое за выпуск, Саша ❤ вы каждый раз все краше и краше 😊🫶🏻",2023-12-13T17:43:07Z,7
Музыка в видео очень мешает воспринимать информацию ( на нервы действует,2023-12-13T17:42:01Z,0
Спасибо.,2023-12-13T17:41:57Z,0
"ирландские полицейские сдали его, несмотря на рыжие усы. причем итальянским преступникам же и сдали. деньги не имеют национальности.",2023-12-13T17:40:54Z,2
Спасибо за выпуск ❤,2023-12-13T17:40:25Z,1
"Нее, Сулим, это скучновато. Если нет идей, посмотрите украинских маньяков, я не шучу, тема маньяков интересна самому. К примеру про Анатолия Оноприенко. В общей сложности «Гражданин О», как его называли, убил 52 человека: 9 жертв с 14 июня по 16 августа 1989 года и 43 жертвы с 5 октября 1995 года по 22 марта 1996 года. Кроме того, не доказан еще ряд преступлений, которые инкриминировали маньяку. Петразино отдыхает",2023-12-13T17:39:36Z,2
"Жутко но, сделайте выпуск про Пола бернардо и Карлу хомолка.",2023-12-13T17:38:14Z,0
❤❤❤,2023-12-13T17:37:23Z,0
"Алексей Валерьевич это 🖤 Его ""Не таки"" это 🖤 Как же круто, что получилась совместная работа с Сашей. Прошу еще. История Петрозини пронзительная.",2023-12-13T17:36:11Z,4
Скучный выпуск 😢,2023-12-13T17:34:37Z,2
день удался! 🫶🏻 спасибо! 💗,2023-12-13T17:34:22Z,0
классный гость спас выпуск. так может он всё время будет всё рассказывать?,2023-12-13T17:27:11Z,1
"Вот это документальный проект, а не слово пацана",2023-12-13T17:27:00Z,2
"Очень крутой выпуск. Саша, вы великолепны!
Здорово, что для освещения темы приглашаются люди, которые глубоко погружены в неё.",2023-12-13T17:25:50Z,6
"Очень приятно смотреть Сашу! Вроде и тру Крайм, а вроде и смотреть можно без нервного напряжения. Потому что «дела» стало просто невозможно воспринимать, такие там ужасы рассказывают",2023-12-13T17:24:02Z,1
Очень интересно! Большое спасибо ❤,2023-12-13T17:22:10Z,0
"У нас тоже были такие великие сыщики, например начальник московского сыска Аркадий Францевич Кошко -блестящий детектив, мастер перевоплощения, даже на высоких постах лично бравшийся за самые сложные дела. Другой пример Иван Путилин. Оба оставили очень любопытные мемуары.",2023-12-13T17:21:42Z,4
"Вот что значит не романтизировать криминал - история с акцентом на жертвах, социо-культурной обстановке, породившей этот криминал, а главное - на людях, которые с этой преступностью боролись! И хоть выпуск называется ""как шайки убийц стали мафией"", но все-таки 2/3 ролика посвящены Джо Петрозино. Браво, Саша! Вы - надежда журналистики.",2023-12-13T17:16:06Z,106
"Здесь я всегда ставлю лайк до просмотра, потому что не интересно быть не может)",2023-12-13T17:14:01Z,0
Мне нравится её голос ❤,2023-12-13T17:13:12Z,1
"Мне кажется, к лучшему, что Саша из Дел ушла ) 
Иначе бы, не было бы этого потрясающего канала и контента.",2023-12-13T17:08:17Z,1
"боже, какая же вы красивая",2023-12-13T17:06:26Z,2
Следующее видео сделайте о самом массовом серийном убийце-путине,2023-12-13T17:04:11Z,2
"Жду каждый новый выпуск, очень интересно",2023-12-13T17:01:21Z,0
"Саша, спасибо за выпуск, супер! Недавно узнала, что был такой маньяк рабовладелец Александр Комин. Было бы интересно послушать ваш разбор по нему! ❤",2023-12-13T17:01:20Z,1
"Саша, невероятная. Как гармонично: голос внешность подача мимика жесты осанка",2023-12-13T16:58:08Z,2
Про зодиака интересно было бы,2023-12-13T16:57:49Z,1
"Да зачем, про америку????
Давайте про нас, будет интересней! А то чё америка? Этак можно и про бразилию или никарагуа. Вот только не интересно...

А то как не посмотришь коменты, тут либо ""ХВАЛА ГОСПОДУ"" либо ""НИЗКИЙ ПОКЛОН"" за проделанную работу... одни низкопоклонщики собрались💪 А критики конструктивной то нету!!!",2023-12-13T16:57:46Z,2
Обажаю ❤,2023-12-13T16:57:31Z,0
"До слез! Очень сильная работа, спасибо Саше и Алексею Валерьевичу",2023-12-13T16:55:44Z,16
"Люблю этот маленький парк, но не знала, в честь кого он назван. Спасибо за экскурс.",2023-12-13T16:53:38Z,0
Молодец Александра так держать ❤❤❤,2023-12-13T16:52:19Z,0
"Очень интересный выпуск! Прям такой исторический! Очень много нового узнала, спасибо!",2023-12-13T16:47:49Z,4
Потрясающий выпуск❤,2023-12-13T16:47:03Z,0
Алексей Кузнецов! ❣️,2023-12-13T16:46:33Z,4
"Спасибо огромное не только за выпуск, но и за приглашение Алексея Валерьевича! ❤",2023-12-13T16:44:35Z,9
"Круто слушать, не про убийц, а наоборот про героя который противостоял преступникам, интересно видеть больше такого",2023-12-13T16:44:34Z,20
Замечательная работа. Сделайте видео о Николае Фефилове и Анатолие Уткине. Тоже много накосячили при поимке. Из иностранных можно взять Уэйна Уильямса и странную серию убийств чернокожих подростков в Атланте.,2023-12-13T16:42:54Z,0
Ура ура ура!! Новое видео. Бегу смотреть!,2023-12-13T16:42:11Z,0
"Саша расскажите нам как-нибудь про самого массового убийцу 21ого века , про Владимир Владимировича ,",2023-12-13T16:41:12Z,1
"Так здорово, что уделили много внимания выдающемуся полицейскому, а не только бандитам. Спасибо за выпуск!!!",2023-12-13T16:40:40Z,27
Я прямо прослезилась. А нормально ли гордиться человеком который умер много десятилетий назад и к которому ты вообще никакого отношения не имеешь?)❤,2023-12-13T16:36:23Z,62
"Такой интересный дяденька. Так интересно рассказывает, а самое главное, прям видно, что ему самому очень интересно. Глаза прям горят. Приятно видеть людей, которые любят свое дело и кайфуют от него. Прям лайк за него. Ну и в целом за контент. Саша и команда - вы лучшие!",2023-12-13T16:34:03Z,0
"Выпуск пролетел незаметно
Спасибо за интересную историю❤",2023-12-13T16:30:40Z,2
"Алексей Валерьевич, конечно, потрясающий рассказчик! Надеюсь станет постоянным гостем👍",2023-12-13T16:30:27Z,11
Саша похожа на Маришу из семеййки Адамс,2023-12-13T16:29:29Z,0
"оч крутой выпуск! у ведущей безумно крутая подача, респект!",2023-12-13T16:27:19Z,0
❤Саша Сулим❤,2023-12-13T16:26:47Z,1
Заебала со своей рекламой,2023-12-13T16:24:55Z,0
"О Алексей Валерьевич, сразу лайк. 😉😉😉😉😉",2023-12-13T16:24:17Z,0
"Ещё один потрясающий вечер в копилочку! Выпуск безумно интересный и неожиданный. Я рада, что Саша экспериментирует с темами репортажей. С каждым разом всё интереснее и интереснее, жду с нетерпением, что будет в следующий раз",2023-12-13T16:24:02Z,4
Боже! Алексей!!! Спасибо,2023-12-13T16:23:24Z,0
Что-то мне захотелось пересмотреть Однажды в Америке,2023-12-13T16:22:32Z,0
"Саша Сулим с таким талантом рассказчика давно должна возглавить какую-нибудь политическую партию)))) не Дай Бог, конечно))",2023-12-13T16:20:57Z,1
С такими коллегами и врагов не надо,2023-12-13T16:19:57Z,1
"Удивительно, что после потери, будь то вещь или человек, мы по настоящему начинаем это ценить",2023-12-13T16:18:12Z,4
Открыли для меня эту историю!Спасибо!,2023-12-13T16:14:42Z,0
"Крутой мужик Петрозино. В 90ых в моем городе жил майор миллиции Огородников, он тоже был одержимым вычистить город от преступных ОПГ. На него было несколько покушений и в начале 2000ых его все таки убили, киллеры открыли огонь по его автомобилю. Своего рода Петрозино, живший в городе с итальянским названием Тольятти",2023-12-13T16:12:45Z,59
⭐️⭐️⭐️⭐️⭐️,2023-12-13T16:12:44Z,0
Услада!,2023-12-13T16:10:14Z,0
ура новое видео,2023-12-13T16:09:47Z,0
Про Витебского душителя пожалуйста ❤,2023-12-13T16:06:59Z,0
"Очень импонирует то, что Александра всегда делает главным героем выпуска, человека положительного, это всегда работники правоохранительных органов, и не ""возносит"" преступников. За это отдельная благодарность👏",2023-12-13T16:06:45Z,953
Спасибо за блестящую работу!,2023-12-13T16:06:13Z,0
"спасибо за все что вы делаете, каждый выпуск все интереснее",2023-12-13T16:04:01Z,3
Хрень короче.,2023-12-13T16:03:31Z,1
"Петрасино, как Джеймс Гордон из сериала Готем",2023-12-13T16:01:01Z,0
о Путине,2023-12-13T15:58:54Z,2
Саша самая красивая журналистка,2023-12-13T15:57:12Z,3
"Очень круто, что видео получилось больше о полицейском, достойном человеке, а не о преступнике",2023-12-13T15:55:06Z,11
кто же такой уильям фарадей?,2023-12-13T15:54:19Z,0
"Какое восхищение вызывает Петрозино! Достойный Человек с большой буквы. Спасибо Саше за это видео. Впервые слышу историю об этой банде. 
Отдельно скажу, что первые минут 20 вызывали во мне чувство неуюта, столько параллелей с современной действительностью: мигранты, обвинения и дурацкие стереотипы(",2023-12-13T15:52:49Z,40
"Не люблю выпуски про банды, но рассказ Алексея Валерьевича прекрасен!",2023-12-13T15:52:00Z,5
Расскажите пожалуйста про Иэна Брейди.,2023-12-13T15:51:00Z,0
Отлично! Ролик под вечер!!!,2023-12-13T15:50:24Z,0
Спасибо Саше за то что в данном выпуске основной акцент сделан на хорошем человеке который борется со злом. Для разнообразия очень воодушевляет. Ну и эксперт просто душка❤,2023-12-13T15:49:00Z,610
"Я только недавно узнала о черной руке, когда мне в руки попали черные",2023-12-13T15:47:48Z,0
"Спасибо, Алексея Кузнецова обожаю",2023-12-13T15:47:31Z,3
"я думал выпуск будет про банды Нью йорка 19 века, как в фильме с ДиКаприо)",2023-12-13T15:47:11Z,0
"Прекрасная работа, благо за ваш труд❤",2023-12-13T15:47:02Z,3
"Не слышал раньше про эту историю. Тут прям квинтэссенция всей грязи правоохранительной системы, коррупция на самых высоких уровнях. Его послали в Италию сто процентов чтобы убийство полицейского произошло не в США. И как людям давать показания если все понимают что во первых их никто не защитит, а во вторых что там бандиты что там бандиты никакой разницы...",2023-12-13T15:45:53Z,1
"Тем, кто ложиться спать - Спокойного сна..",2023-12-13T15:45:40Z,0
"Всегда очень интересно, спасибо ❤",2023-12-13T15:40:22Z,0
"Как сказал один персонаж ""такие скулы,что прорезаться можно"". Саша, очень красивая девушка",2023-12-13T15:37:01Z,5
"Делаем ставки, сколько будет рекламных вставок?",2023-12-13T15:32:24Z,0
"Очент интересно!!!! Саша, вы прекрассный разсказчик!!!",2023-12-13T15:31:46Z,0
Красивая девушка хороший контент,2023-12-13T15:31:31Z,1
Скууууучнааааа,2023-12-13T15:29:55Z,0
"Саша, Вы очень красивая. Фамилия украинская. Внешность межпланетная, как то Ваши родители?",2023-12-13T15:29:21Z,1
Спасибо большое! Хотелось бы послушать про Джозефа Эдварда Дункана,2023-12-13T15:26:49Z,2
Благодарю за эфир ❤,2023-12-13T15:23:51Z,0
"Сулим, ты же ведь сама маньячка, правда? я не могу ошибаться, потому что мне твое лицо уже в кошмарах начинает сниться, а я всего лишь пару выпусков посмотрел.",2023-12-13T15:23:43Z,0
Как же ты прекрасна Саша❤,2023-12-13T15:22:27Z,2
Не зашло(,2023-12-13T15:21:14Z,1
Спасибо за Алексея Кузнецова! Со времен разворотов на эхе скучаю,2023-12-13T15:21:05Z,7
"Новый выпуск это хорошо, но очень хотелось бы расследование про Евгения  Чуплинского. Жила в городе и не знала, что такое происходит, до момента задержания…",2023-12-13T15:21:01Z,0
Интересно было бы посмотреть выпуск про Орского маньяка.,2023-12-13T15:20:45Z,0
"Саша, вас ждут на  ""балдёжный подкаст"", Антон, Кузьма и Юлия!",2023-12-13T15:20:37Z,0
Столько раз проезжал мимо Petrosino park и не знал как он называется. Спасибо за инфу,2023-12-13T15:18:32Z,1
"После выхода фильма ""женщина которая поëт"", появился маньяк, убивал и насиловал. Ничего о нëм не знаю и в то время даже странно, что такие были😳 Пожалуйста, про него снимите🙏",2023-12-13T15:10:46Z,1
Отличный выпуск! Спасибо!,2023-12-13T15:10:37Z,1
"Если честно, неинтересная история. Узкому кругу понравится.",2023-12-13T15:10:27Z,0
О Путине сделайте пж.! Кровавый монстр с благовидным лицом десятки тысяч на смерть отправляет,2023-12-13T15:09:59Z,2
за Алексея Валерьевича  лайк не глядя ❤,2023-12-13T15:08:44Z,3
"Александра вы лучшая! ❤
Бвло бы интересно посмотреть выпуск про корейских или японских)",2023-12-13T15:08:42Z,0
"Задолжала уже со своими брекетами, смотреть невозможно",2023-12-13T15:05:23Z,0
"Банды Нью Йорка? Дальше что? Убийство Кеннеди? Джек Потрашитель?
Почему на этом канале начинается эта голиматья? 
Хер с ними с повторами, но очередной научпоп из тру крайма делать это уже атас. 
Саша Сулим, ты либо делай тру крайм, либо сосись с редакцией. 
За дураков нас держишь?",2023-12-13T15:04:58Z,0
"Рекламируете Российские банки во время войны? Саша, после войны готовьтесь за каждый видос пояснять, я лично до вас по этому поводу доебусь. Поговорим о том, как вы пополняете бюджет воюющей страны, будет круто, обещаю.",2023-12-13T15:04:56Z,0
"Саша Сулим сама на маньяка похожа) Такое ощущение что когда её подружки играли в барби и смотрели мультик про русалочку, Саша смотрела Криминальную Россию по НТВ",2023-12-13T15:01:48Z,3
Саша все хорошеет,2023-12-13T15:00:53Z,1
"Гость чудесный! Эмоционально, профессионально. Вышел чудесный дуэт.",2023-12-13T15:00:41Z,11
"Очень интересная история, спасибо!",2023-12-13T14:58:44Z,0
"Саша, спасибо за выпуск,как раз думал, что бы посмотреть, а тут такой подарок)) и снова прошу о выпуске про Иртышова",2023-12-13T14:57:22Z,0
Как приятно увидеть здесь Алексея Валерьевича 💕💕💕,2023-12-13T14:57:09Z,1
"Потрясающий выпуск❤🎉
Было бы очень интересно узнать историю про не установленного  серийного убийцу Доктора Ноу",2023-12-13T14:57:09Z,1
"Без преувеличения великий человек - Петрозино. Мурашки по коже от эпизода с его похоронами. Выпуск потрясающий, посмотрела на одном дыхании.
Саша, огромное спасибо за вашу работу! И отдельное спасибо за Алексея Кузнецова, всегда интересно его послушать 💜",2023-12-13T14:56:30Z,468
и Ешь,2023-12-13T14:56:17Z,1
Красотка ! Улыбайся,2023-12-13T14:55:54Z,1
"Саша, вам большое спасибо за ваш ТРУД! Ваша тематика очень сложная, поскольку нужно провести колоссальную работу прежде, чем выложить на обозрение нам. Желаю вам в Новом году новых выпусков и побольше подписчиков! Особенно было бы интересно посмотреть ваши выпуски про маньяков в Казахстане, которые живы до сих пор и находятся под стражей.",2023-12-13T14:54:38Z,8
Эксперт у вас конечно...... Кусок дерьма)))),2023-12-13T14:54:14Z,0
Очень приятно слушать❤ До последнего надеялась что Петрозино не убьют 😪,2023-12-13T14:53:33Z,6
"Привет , можете рассказать про индийских тугов, или тхагов незнаю.",2023-12-13T14:52:57Z,0
Вечная память настоящему народному милиционеру Джузеппе Петрозино! ))),2023-12-13T14:52:16Z,1
Я думал это выпуск про фильм Скорцезе,2023-12-13T14:51:46Z,0
Саша! Вы- невероятная! Вам идеально в этом костюме,2023-12-13T14:50:25Z,1
"Если касаться темы выдающихся криминалистов, хотелось бы каких-то имен новаторов, повлиявших на всю современную криминалистику, креативщиков, впервые использующих какие-то методы, тактики и пр.",2023-12-13T14:49:55Z,9
❤,2023-12-13T14:49:37Z,0
сколько рекламы! ну не надо быть такими жадными!,2023-12-13T14:49:36Z,0
"Саша, спасибо!",2023-12-13T14:47:21Z,0
"У меня бессонница и Сашин голос действует на меня усыпляюще.Обволакивает и успокаивает.
Приходится смотреть каждый выпуск по несколько раз😂",2023-12-13T14:42:23Z,79
Великолепный выпуск. Спасибо! Мое предложение - Михасевич Геннадий. Я сама из тех краёв.,2023-12-13T14:40:42Z,1
"Интересный факт,что,отдельно взятые этнические сообщества имеют более влиятельные криминальные организации,а именно самые мощные из них:

Албанцы
Армяне
Азербайджанцы
Сербы
Евреи
Русские
Украинцы
Ирландцы
Мексиканские и колумбийские картели
Триада (Китай)
Итальянская мафия
Якудза (Япония)

Источник-википедия(введите в гугле слово «мафия»)",2023-12-13T14:40:31Z,2
"Спасибо, Саша❤ крутой и понятный эксперт Алексей, спасибо👍",2023-12-13T14:40:12Z,3
"Вижу новый выпуск - ставлю лайк, потом включаю) Очень интересные сюжеты.",2023-12-13T14:37:57Z,1
Ну чё раНарод погнали!,2023-12-13T14:34:48Z,0
"Саша спасибо, новый выпуск- это праздник, а неожиданное появление в вашем выпуске Алексея Валерьевича- это просто феерия!🎉❤",2023-12-13T14:33:33Z,32
"Что Вы с собой сделали? Была - очень красивая женщина, сейчас на видео - Мартиша Адамс в худшие времена.. Зачем???? Вы очень красива, умна, интересна.",2023-12-13T14:32:15Z,1
